0	GO	10									
1	Hilleboe_Hall	1	60	30	2	10	30	90	160	250	50
2	Community_Chest	11									
3	Kittlesby_Hall	1	60	30	4	20	60	180	320	450	50
4	Income_Tax	12	-200								
5	Green_Bikes	0	200	100	25	50	100	200			
6	Kildahl_Hall	2	100	50	6	30	90	270	400	550	50
7	Chance	13									
8	Rand_Hall	2	100	50	6	30	90	270	400	550	50
9	Larson_Hall	2	120	60	8	40	100	300	450	600	50
10	Jail	14									
11	Mohn_Hall	3	140	70	10	50	150	450	625	750	100
12	Moodle	9	150	75	4	10					
13	Ellingson_Hall	3	140	70	10	50	150	450	625	750	100
14	Thorson_Hall	3	160	80	12	60	180	500	700	900	100
15	Van-Go	0	200	100	25	50	100	200			
16	Hoyme_Hall	4	180	90	14	70	200	550	750	950	100
17	Community_Chest		11									
18	Yitterboe_Hall	4	180	90	14	70	200	550	750	950	100
19	Melby_Hall	4	200	100	16	80	220	600	800	1000	100
20	Buntrock_Commons	15									
21	Boe_Chapel	5	220	110	18	90	250	700	875	1050	150
22	Chance	13									
23	Holland_Hall	5	220	110	18	90	250	700	875	1050	150
24	Skoglund_Athletic_Center	5	240	120	20	100	300	750	925	1100	150
25	We-Car	0	200	100	25	50	100	200			
26	Regents_Hall	6	260	130	22	110	330	800	975	1150	150
27	Tomson_Hall	6	260	130	22	110	330	800	975	1150	150
28	Sto-Print	9	150	75	4	10					
29	Old_Main	6	280	140	22	120	360	850	1025	1200	150
30	Go_To_Jail	16									
31	Christiansen_Hall_Of_Music	7	300	150	26	130	390	900	1100	1275	200
32	Dittmann_Center	7	300	150	26	130	390	900	1100	1275	200
33	Community_Chest	11									
34	Rølvaag_Memorial_Library	7	320	160	28	150	450	1000	1200	1400	200
35	Northfield_Lines_Metro_Express	0	200	100	25	50	100	200			
36	Chance	13									
37	Stav_Hall	8	350	175	35	175	500	1100	1300	1500	200
38	Luxury_Tax	12	-75								
39	The_Lion's_Pause	8	400	200	50	200	600	1400	1700	2000	200
